gene,variable,value
UBE2J2,chr1:1342948-1350181,0.00025840325
MIB2,chr1:1342948-1350181,0.00023619796
SLC35E2A,chr1:1342948-1350181,0.00023073617
ISG15,chr1:1351473-1360609,0.00029032107
C1orf159,chr1:1351473-1360609,0.00026733405
UBE2J2,chr1:1351473-1360609,0.00025792987
MIB2,chr1:1351473-1360609,0.00023576539
SLC35E2A,chr1:1351473-1360609,0.00023031369
ISG15,chr1:1370283-1377149,0.00028955063
C1orf159,chr1:1370283-1377149,0.00026662488
UBE2J2,chr1:1370283-1377149,0.00025724535
MIB2,chr1:1370283-1377149,0.00023513977
SLC35E2A,chr1:1370283-1377149,0.00022970256
ISG15,chr1:1397299-1403467,0.00028889766
C1orf159,chr1:1397299-1403467,0.00026602353
UBE2J2,chr1:1397299-1403467,0.00025666528
MIB2,chr1:1397299-1403467,0.00023460951
SLC35E2A,chr1:1397299-1403467,0.00022918452
ISG15,chr1:1406191-1408354,0.00028877106
C1orf159,chr1:1406191-1408354,0.0002659072
UBE2J2,chr1:1406191-1408354,0.00025655288
MIB2,chr1:1406191-1408354,0.00023450698
SLC35E2A,chr1:1406191-1408354,0.00022908417
ISG15,chr1:1433242-1436610,0.00028928427
C1orf159,chr1:1433242-1436610,0.00026637953
UBE2J2,chr1:1433242-1436610,0.0002570087
MIB2,chr1:1433242-1436610,0.00023492359
SLC35E2A,chr1:1433242-1436610,0.00022949121
ISG15,chr1:1470515-1473229,0.00029012328
C1orf159,chr1:1470515-1473229,0.00026715192
UBE2J2,chr1:1470515-1473229,0.00025775394
MIB2,chr1:1470515-1473229,0.00023560486
SLC35E2A,chr1:1470515-1473229,0.00023015679
ISG15,chr1:1504556-1506140,0.0002907727
C1orf159,chr1:1504556-1506140,0.00026775003
UBE2J2,chr1:1504556-1506140,0.00025833093
MIB2,chr1:1504556-1506140,0.00023613212
SLC35E2A,chr1:1504556-1506140,0.00023067201
ISG15,chr1:1510681-1513270,0.00029092
C1orf159,chr1:1510681-1513270,0.00026788574
UBE2J2,chr1:1510681-1513270,0.0002584618
MIB2,chr1:1510681-1513270,0.00023625171
SLC35E2A,chr1:1510681-1513270,0.0002307889
ISG15,chr1:1538404-1541739,0.00029069913
C1orf159,chr1:1538404-1541739,0.0002676822
UBE2J2,chr1:1538404-1541739,0.00025826553
MIB2,chr1:1538404-1541739,0.00023607234
SLC35E2A,chr1:1538404-1541739,0.00023061356
ISG15,chr1:1570732-1575919,0.0002905505
C1orf159,chr1:1570732-1575919,0.0002675453
UBE2J2,chr1:1570732-1575919,0.0002581335
MIB2,chr1:1570732-1575919,0.00023595156
SLC35E2A,chr1:1570732-1575919,0.00023049553
ISG15,chr1:1596784-1605613,0.00029081223
C1orf159,chr1:1596784-1605613,0.00026778626
UBE2J2,chr1:1596784-1605613,0.0002583661
MIB2,chr1:1596784-1605613,0.00023616408
SLC35E2A,chr1:1596784-1605613,0.00023070326
ISG15,chr1:1606262-1607881,0.00029142798
C1orf159,chr1:1606262-1607881,0.00026835327
UBE2J2,chr1:1606262-1607881,0.00025891315
MIB2,chr1:1606262-1607881,0.00023666411
SLC35E2A,chr1:1606262-1607881,0.00023119175
ISG15,chr1:1613696-1632757,0.0002919996
C1orf159,chr1:1613696-1632757,0.0002688798
UBE2J2,chr1:1613696-1632757,0.00025942115
MIB2,chr1:1613696-1632757,0.00023712829
SLC35E2A,chr1:1613696-1632757,0.00023164539
ISG15,chr1:1658425-1659722,0.00029212623
C1orf159,chr1:1658425-1659722,0.0002689964
UBE2J2,chr1:1658425-1659722,0.00025953352
MIB2,chr1:1658425-1659722,0.00023723126
SLC35E2A,chr1:1658425-1659722,0.00023174586
ISG15,chr1:1677325-1679325,0.0002917659
C1orf159,chr1:1677325-1679325,0.00026866453
UBE2J2,chr1:1677325-1679325,0.00025921327
MIB2,chr1:1677325-1679325,0.00023693865
SLC35E2A,chr1:1677325-1679325,0.00023145991
ISG15,chr1:1692206-1695195,0.0002912469
C1orf159,chr1:1692206-1695195,0.00026818673
UBE2J2,chr1:1692206-1695195,0.00025875214
MIB2,chr1:1692206-1695195,0.00023651725
SLC35E2A,chr1:1692206-1695195,0.00023104818
ISG15,chr1:1723735-1725085,0.0002909812
C1orf159,chr1:1723735-1725085,0.0002679418
UBE2J2,chr1:1723735-1725085,0.00025851594
MIB2,chr1:1723735-1725085,0.00023630138
SLC35E2A,chr1:1723735-1725085,0.00023083723
ISG15,chr1:1728310-1729507,0.00029111688
C1orf159,chr1:1728310-1729507,0.00026806674
UBE2J2,chr1:1728310-1729507,0.0002586364
MIB2,chr1:1728310-1729507,0.00023641152
SLC35E2A,chr1:1728310-1729507,0.0002309448
ISG15,chr1:1745493-1747538,0.0002914517
C1orf159,chr1:1745493-1747538,0.00026837515
UBE2J2,chr1:1745493-1747538,0.00025893404
MIB2,chr1:1745493-1747538,0.00023668355
SLC35E2A,chr1:1745493-1747538,0.00023121049
ISG15,chr1:1763950-1765436,0.000291657
C1orf159,chr1:1763950-1765436,0.0002685642
UBE2J2,chr1:1763950-1765436,0.0002591163
MIB2,chr1:1763950-1765436,0.00023685012
SLC35E2A,chr1:1763950-1765436,0.00023137341
ISG15,chr1:1776828-1783991,0.0002916156
C1orf159,chr1:1776828-1783991,0.00026852635
UBE2J2,chr1:1776828-1783991,0.00025907956
MIB2,chr1:1776828-1783991,0.0002368165
SLC35E2A,chr1:1776828-1783991,0.00023134059
ISG15,chr1:1886087-1896354,0.0002915272
C1orf159,chr1:1886087-1896354,0.00026844488
UBE2J2,chr1:1886087-1896354,0.00025900098
MIB2,chr1:1886087-1896354,0.00023674479
SLC35E2A,chr1:1886087-1896354,0.00023127036
ISG15,chr1:1905851-1911844,0.00029172027
C1orf159,chr1:1905851-1911844,0.00026862248
UBE2J2,chr1:1905851-1911844,0.0002591725
MIB2,chr1:1905851-1911844,0.0002369015
SLC35E2A,chr1:1905851-1911844,0.00023142347
ISG15,chr1:1914190-1923960,0.0002923227
C1orf159,chr1:1914190-1923960,0.0002691772
UBE2J2,chr1:1914190-1923960,0.00025970774
MIB2,chr1:1914190-1923960,0.0002373906
SLC35E2A,chr1:1914190-1923960,0.00023190133
ISG15,chr1:2043518-2045607,0.00029312196
C1orf159,chr1:2043518-2045607,0.00026991311
UBE2J2,chr1:2043518-2045607,0.0002604179
MIB2,chr1:2043518-2045607,0.00023803962
SLC35E2A,chr1:2043518-2045607,0.00023253531
ISG15,chr1:2049292-2052006,0.00029372924
C1orf159,chr1:2049292-2052006,0.0002704725
UBE2J2,chr1:2049292-2052006,0.0002609576
MIB2,chr1:2049292-2052006,0.00023853296
SLC35E2A,chr1:2049292-2052006,0.00023301739
ISG15,chr1:2112137-2113119,0.00029389528
C1orf159,chr1:2112137-2113119,0.00027062552
UBE2J2,chr1:2112137-2113119,0.0002611052
MIB2,chr1:2112137-2113119,0.00023866791
SLC35E2A,chr1:2112137-2113119,0.00023314907
ISG15,chr1:2126200-2128398,0.00029371592
C1orf159,chr1:2126200-2128398,0.00027046032
UBE2J2,chr1:2126200-2128398,0.00026094588
MIB2,chr1:2126200-2128398,0.00023852216
SLC35E2A,chr1:2126200-2128398,0.0002330069
ISG15,chr1:2132143-2136521,0.00029350666
C1orf159,chr1:2132143-2136521,0.00027026766
UBE2J2,chr1:2132143-2136521,0.0002607601
MIB2,chr1:2132143-2136521,0.00023835234
SLC35E2A,chr1:2132143-2136521,0.00023284089
ISG15,chr1:2139497-2140523,0.00029351085
C1orf159,chr1:2139497-2140523,0.00027027132
UBE2J2,chr1:2139497-2140523,0.00026076374
MIB2,chr1:2139497-2140523,0.0002383559
SLC35E2A,chr1:2139497-2140523,0.0002328442
ISG15,chr1:2145904-2147150,0.00029367494
C1orf159,chr1:2145904-2147150,0.0002704222
UBE2J2,chr1:2145904-2147150,0.00026090935
MIB2,chr1:2145904-2147150,0.00023848892
SLC35E2A,chr1:2145904-2147150,0.00023297427
ISG15,chr1:2148366-2153679,0.00029371842
C1orf159,chr1:2148366-2153679,0.00027046225
UBE2J2,chr1:2148366-2153679,0.0002609478
MIB2,chr1:2148366-2153679,0.00023852417
SLC35E2A,chr1:2148366-2153679,0.00023300874
ISG15,chr1:2187674-2192185,0.0002934151
C1orf159,chr1:2187674-2192185,0.0002701832
UBE2J2,chr1:2187674-2192185,0.00026067847
MIB2,chr1:2187674-2192185,0.00023827792
SLC35E2A,chr1:2187674-2192185,0.00023276807
ISG15,chr1:2192803-2202429,0.00029280205
C1orf159,chr1:2192803-2202429,0.00026961885
UBE2J2,chr1:2192803-2202429,0.00026013394
MIB2,chr1:2192803-2202429,0.00023778027
SLC35E2A,chr1:2192803-2202429,0.00023228186
C1orf159,chr1:2203038-2211269,0.00026901189
UBE2J2,chr1:2203038-2211269,0.00025954813
MIB2,chr1:2203038-2211269,0.00023724494
SLC35E2A,chr1:2203038-2211269,0.00023175881
C1orf159,chr1:2212019-2217115,0.00026857812
UBE2J2,chr1:2212019-2217115,0.0002591296
MIB2,chr1:2212019-2217115,0.0002368624
SLC35E2A,chr1:2212019-2217115,0.00023138516
C1orf159,chr1:2223991-2243905,0.00026832434
UBE2J2,chr1:2223991-2243905,0.0002588848
MIB2,chr1:2223991-2243905,0.00023663856
SLC35E2A,chr1:2223991-2243905,0.00023116663
C1orf159,chr1:2245042-2260771,0.00026808848
UBE2J2,chr1:2245042-2260771,0.00025865738
MIB2,chr1:2245042-2260771,0.00023643047
SLC35E2A,chr1:2245042-2260771,0.0002309635
C1orf159,chr1:2273521-2276943,0.00026775524
UBE2J2,chr1:2273521-2276943,0.00025833596
MIB2,chr1:2273521-2276943,0.00023613655
SLC35E2A,chr1:2273521-2276943,0.00023067638
C1orf159,chr1:2287696-2307507,0.00026744284
UBE2J2,chr1:2287696-2307507,0.00025803453
MIB2,chr1:2287696-2307507,0.0002358611
SLC35E2A,chr1:2287696-2307507,0.00023040727
C1orf159,chr1:2310133-2323734,0.0002674336
UBE2J2,chr1:2310133-2323734,0.00025802566
MIB2,chr1:2310133-2323734,0.00023585318
SLC35E2A,chr1:2310133-2323734,0.00023039924
UBE2J2,chr1:2381223-2383175,0.00025849522
MIB2,chr1:2381223-2383175,0.00023628255
SLC35E2A,chr1:2381223-2383175,0.00023081864
UBE2J2,chr1:2390265-2393873,0.00025930384
MIB2,chr1:2390265-2393873,0.00023702168
SLC35E2A,chr1:2390265-2393873,0.00023154078
UBE2J2,chr1:2411619-2418124,0.00026001956
MIB2,chr1:2411619-2418124,0.00023767594
SLC35E2A,chr1:2411619-2418124,0.00023218
MIB2,chr1:2493438-2508142,0.00023785149
SLC35E2A,chr1:2493438-2508142,0.00023235152
TPRG1L,chr1:2493438-2508142,0.00085191283
MIB2,chr1:2522750-2532596,0.00023746552
SLC35E2A,chr1:2522750-2532596,0.0002319744
TPRG1L,chr1:2522750-2532596,0.0008505308
MIB2,chr1:2539257-2550817,0.00023681304
SLC35E2A,chr1:2539257-2550817,0.00023133705
TPRG1L,chr1:2539257-2550817,0.00084819476
MIB2,chr1:2553882-2565652,0.00023634243
SLC35E2A,chr1:2553882-2565652,0.00023087699
TPRG1L,chr1:2553882-2565652,0.000846509
MIB2,chr1:2575386-2579330,0.0002363061
SLC35E2A,chr1:2575386-2579330,0.00023084146
TPRG1L,chr1:2575386-2579330,0.0008463792
MIB2,chr1:2583272-2589228,0.00023661094
SLC35E2A,chr1:2583272-2589228,0.00023113948
TPRG1L,chr1:2583272-2589228,0.00084747165
MIB2,chr1:2641098-2644825,0.00023695306
SLC35E2A,chr1:2641098-2644825,0.00023147381
TPRG1L,chr1:2641098-2644825,0.0008486968
SLC35E2A,chr1:2839827-2841015,0.00023162388
TPRG1L,chr1:2839827-2841015,0.00084924616
TPRG1L,chr1:3453046-3455260,0.00084929797
TPRG1L,chr1:3490796-3492384,0.0008496917
TPRG1L,chr1:3529773-3533539,0.0008509624
TPRG1L,chr1:3596873-3600260,0.00085269724
TPRG1L,chr1:3610446-3612481,0.0008537793
TPRG1L,chr1:3618570-3619644,0.00085342437
TPRG1L,chr1:3623389-3626118,0.00085194304
TPRG1L,chr1:3649198-3653468,0.00085063523
TPRG1L,chr1:3665437-3667812,0.00085067906
TPRG1L,chr1:3668575-3670130,0.00085215963
TPRG1L,chr1:3676088-3679336,0.0008539093
TPRG1L,chr1:3745954-3747811,0.00085444876
TPRG1L,chr1:3771483-3776596,0.0008531549
TPRG1L,chr1:3795700-3797317,0.0008507336
TPRG1L,chr1:3856311-3858761,0.00084858853
TPRG1L,chr1:3889866-3891759,0.0008477222
TPRG1L,chr1:3899261-3904159,0.0008481424
PER3,chr1:6578126-6583066,0.00044946707
PER3,chr1:6585823-6589687,0.00045024446
PER3,chr1:6590953-6592969,0.00045161633
PER3,chr1:6598651-6604569,0.00045283214
PER3,chr1:6612370-6615918,0.00045321631
PER3,chr1:6624509-6626224,0.0004527059
PER3,chr1:6700939-6702706,0.00045185786
PER3,chr1:6740778-6744492,0.0004513522
PER3,chr1:6783217-6787003,0.0004514322
PER3,chr1:7679850-7681289,0.0004517838
PER3,chr1:7702770-7706191,0.00045192247
PER3,chr1:7770325-7772445,0.00045167853
CA6,chr1:7770325-7772445,0.00030490643
PER3,chr1:7781126-7785308,0.0004513563
CA6,chr1:7781126-7785308,0.00030468905
PER3,chr1:7826965-7827892,0.00045141013
CA6,chr1:7826965-7827892,0.0003047254
PER3,chr1:7929593-7931855,0.0004519326
CA6,chr1:7929593-7931855,0.00030507817
PER3,chr1:7940587-7943578,0.00045250313
CA6,chr1:7940587-7943578,0.00030546339
PER3,chr1:7953453-7955102,0.00045248977
CA6,chr1:7953453-7955102,0.00030545413
PER3,chr1:7960078-7962635,0.00045161205
CA6,chr1:7960078-7962635,0.00030486152
PER3,chr1:8025090-8027481,0.00045021778
CA6,chr1:8025090-8027481,0.0003039203
PER3,chr1:8106531-8107445,0.00044901954
CA6,chr1:8106531-8107445,0.0003031115
PER3,chr1:8126703-8127941,0.0004485473
CA6,chr1:8126703-8127941,0.00030279256
PER3,chr1:8151427-8154307,0.00044874067
CA6,chr1:8151427-8154307,0.00030292314
PER3,chr1:8169138-8170875,0.00044907932
CA6,chr1:8169138-8170875,0.00030315178
PER3,chr1:8182052-8183257,0.00044903072
CA6,chr1:8182052-8183257,0.0003031189
PER3,chr1:8216882-8219316,0.00044847146
CA6,chr1:8216882-8219316,0.00030274145
PER3,chr1:8224520-8225651,0.0004477034
CA6,chr1:8224520-8225651,0.0003022231
PER3,chr1:8317495-8318963,0.0004470899
CA6,chr1:8317495-8318963,0.00030180928
PER3,chr1:8348603-8352586,0.00044672843
CA6,chr1:8348603-8352586,0.00030156545
SLC25A33,chr1:8348603-8352586,0.00031673402
PER3,chr1:8357343-8361167,0.00044642598
CA6,chr1:8357343-8361167,0.00030136114
SLC25A33,chr1:8357343-8361167,0.00031651967
PER3,chr1:8382529-8383674,0.00044604237
CA6,chr1:8382529-8383674,0.00030110223
SLC25A33,chr1:8382529-8383674,0.00031624775
PER3,chr1:8394968-8396185,0.00044573954
CA6,chr1:8394968-8396185,0.00030089752
SLC25A33,chr1:8394968-8396185,0.00031603294
PER3,chr1:8422228-8425352,0.00044592557
CA6,chr1:8422228-8425352,0.00030102293
SLC25A33,chr1:8422228-8425352,0.00031616486
PER3,chr1:8426238-8428582,0.00044686743
CA6,chr1:8426238-8428582,0.00030165882
SLC25A33,chr1:8426238-8428582,0.00031683253
PER3,chr1:8429676-8431621,0.00044832405
CA6,chr1:8429676-8431621,0.00030264197
SLC25A33,chr1:8429676-8431621,0.00031786523
PER3,chr1:8438654-8439561,0.00044961084
CA6,chr1:8438654-8439561,0.00030351093
SLC25A33,chr1:8438654-8439561,0.00031877757
PER3,chr1:8495929-8498138,0.00045005057
CA6,chr1:8495929-8498138,0.0003038076
SLC25A33,chr1:8495929-8498138,0.00031908933
PER3,chr1:8509682-8510976,0.00044949772
CA6,chr1:8509682-8510976,0.00030343444
SLC25A33,chr1:8509682-8510976,0.00031869736
PER3,chr1:8522902-8526744,0.00044843572
CA6,chr1:8522902-8526744,0.00030271753
SLC25A33,chr1:8522902-8526744,0.00031794453
PER3,chr1:8629060-8630540,0.00044756167
CA6,chr1:8629060-8630540,0.00030212745
SLC25A33,chr1:8629060-8630540,0.0003173247
PER3,chr1:8663771-8664677,0.00044724287
CA6,chr1:8663771-8664677,0.0003019122
SLC25A33,chr1:8663771-8664677,0.00031709875
PER3,chr1:8700671-8703996,0.00044729773
CA6,chr1:8700671-8703996,0.0003019492
SLC25A33,chr1:8700671-8703996,0.00031713763
PER3,chr1:8712047-8713410,0.00044727066
CA6,chr1:8712047-8713410,0.00030193082
SLC25A33,chr1:8712047-8713410,0.00031711842
CTNNBIP1,chr1:8712047-8713410,0.00035637937
PER3,chr1:8814920-8818798,0.0004469581
CA6,chr1:8814920-8818798,0.00030172
SLC25A33,chr1:8814920-8818798,0.00031689668
CTNNBIP1,chr1:8814920-8818798,0.00035613036
PER3,chr1:8847891-8849464,0.0004466512
CA6,chr1:8847891-8849464,0.00030151271
SLC25A33,chr1:8847891-8849464,0.0003166789
CTNNBIP1,chr1:8847891-8849464,0.00035588583
PER3,chr1:8873093-8874514,0.0004468772
CA6,chr1:8873093-8874514,0.00030166525
SLC25A33,chr1:8873093-8874514,0.00031683914
CTNNBIP1,chr1:8873093-8874514,0.0003560661
PER3,chr1:8875198-8881157,0.0004478792
CA6,chr1:8875198-8881157,0.00030234177
SLC25A33,chr1:8875198-8881157,0.00031754962
CTNNBIP1,chr1:8875198-8881157,0.0003568645
PER3,chr1:8924588-8928112,0.00044931693
CA6,chr1:8924588-8928112,0.00030331244
SLC25A33,chr1:8924588-8928112,0.00031856907
CTNNBIP1,chr1:8924588-8928112,0.00035801006
PER3,chr1:8945558-8947766,0.00045047596
CA6,chr1:8945558-8947766,0.00030409504
SLC25A33,chr1:8945558-8947766,0.00031939102
CTNNBIP1,chr1:8945558-8947766,0.00035893335
PER3,chr1:8969008-8971929,0.0004508594
CA6,chr1:8969008-8971929,0.00030435383
SLC25A33,chr1:8969008-8971929,0.0003196629
CTNNBIP1,chr1:8969008-8971929,0.00035923888
CA6,chr1:8986584-8988623,0.00030419027
SLC25A33,chr1:8986584-8988623,0.00031949108
CTNNBIP1,chr1:8986584-8988623,0.00035904587
CA6,chr1:9004217-9005722,0.00030406797
SLC25A33,chr1:9004217-9005722,0.00031936256
CTNNBIP1,chr1:9004217-9005722,0.00035890163
CA6,chr1:9069179-9070132,0.00030439105
SLC25A33,chr1:9069179-9070132,0.00031970188
CTNNBIP1,chr1:9069179-9070132,0.000359283
